IlmnID	final_gene_name_hg19	final_gene_name_hg38
cg00212031	TTTY14	TTTY14
cg05865243	TSPY2	AC006335.6
cg05865243	TSPY2	TSPY2
cg00008945	HMGN5	HMGN5
cg00011200	EBP	EBP
cg00016522	MTM1	MTM1
cg00018261	ZCCHC12	ZCCHC12
cg00072288	NAA10	ARHGAP4
cg00072288	NAA10	NAA10
cg00112256	DOCK11	DOCK11
cg00116709	MAGIX	MAGIX
cg00240113	ZIC3	ZIC3
cg00241296	IL1RAPL2	IL1RAPL2
cg00360365	GNL3L	GNL3L
cg00373606	EFNB1	EFNB1
cg00380985	TCEAL6	TCEAL6
cg00408231	ARMCX1	ARMCX1
cg00458505	NHS	NHS
cg00529027	GABRQ	GABRQ
cg00554969	TBX22	TBX22
cg00583618	MAGIX	MAGIX
cg00598664	PNCK	PNCK
cg00611101	TCEAL2	TCEAL2
cg00622384	RPL39	RPL39
cg00645049	ATP6AP1	ATP6AP1
cg00645049	ATP6AP1	CH17-340M24.3
cg00727483	ARHGEF9	ARHGEF9
cg00729461	CCDC160	CCDC160
cg00769799	HPRT1	HPRT1
cg00776430	TSPYL2	TSPYL2
cg00832270	PGK1	PGK1
cg00849191	PNCK	PNCK
cg00904184	FAM123B	AMER1
cg01056373	CETN2	CETN2
cg01056373	CETN2	NSDHL
cg01083397	MECP2	MECP2
cg01142317	ZMAT1	ZMAT1
cg01187510	MCART6	SLC25A53
cg01191902	PRAF2	AF196779.12
cg01191902	PRAF2	PRAF2
cg01434723	UBL4A	UBL4A
cg01483252	CHST7	CHST7
cg01538344	TAF7L	TAF7L
cg01543116	XKRX	XKRX
cg01600123	DLG3	DLG3
cg01668271	ZNF81	AL022578.1
cg01668271	ZNF81	ZNF81
cg01755617	RPL10	RPL10
cg01755617	RPL10	XX-FW83563B9.5
cg01759889	FAM155B	FAM155B
cg01807728	HMGB3	HMGB3
cg01813294	NHS	NHS
cg01825872	OPHN1	OPHN1
cg01828474	KLHL34	KLHL34
