"length","gene_id","gene_name"
4535,"ENSG00000000003.13","TSPAN6"
1610,"ENSG00000000005.5","TNMD"
1207,"ENSG00000000419.11","DPM1"
6883,"ENSG00000000457.12","SCYL3"
5967,"ENSG00000000460.15","C1orf112"
3474,"ENSG00000000938.11","FGR"
8145,"ENSG00000000971.14","CFH"
2793,"ENSG00000001036.12","FUCA2"
8463,"ENSG00000001084.9","GCLC"
3811,"ENSG00000001167.13","NFYA"
8511,"ENSG00000001460.16","STPG1"
9404,"ENSG00000001461.15","NIPAL3"
5589,"ENSG00000001497.15","LAS1L"
4651,"ENSG00000001561.6","ENPP4"
4826,"ENSG00000001617.10","SEMA3F"
8517,"ENSG00000001626.13","CFTR"
7130,"ENSG00000001629.8","ANKIB1"
4074,"ENSG00000001630.14","CYP51A1"
6204,"ENSG00000001631.13","KRIT1"
4190,"ENSG00000002016.15","RAD52"
1708,"ENSG00000002330.12","BAD"
3785,"ENSG00000002549.11","LAP3"
3284,"ENSG00000002586.16","CD99"
8166,"ENSG00000002587.8","HS3ST1"
3824,"ENSG00000002726.18","AOC1"
3261,"ENSG00000002745.11","WNT16"
13965,"ENSG00000002746.13","HECW1"
7230,"ENSG00000002822.14","MAD1L1"
7061,"ENSG00000002834.16","LASP1"
3606,"ENSG00000002919.13","SNX11"
3479,"ENSG00000002933.6","TMEM176A"
3777,"ENSG00000003056.6","M6PR"
6983,"ENSG00000003096.12","KLHL13"
5015,"ENSG00000003137.7","CYP26B1"
4891,"ENSG00000003147.16","ICA1"
4791,"ENSG00000003249.12","DBNDD1"
10384,"ENSG00000003393.13","ALS2"
7598,"ENSG00000003400.13","CASP10"
22529,"ENSG00000003402.18","CFLAR"
11714,"ENSG00000003436.13","TFPI"
3651,"ENSG00000003509.14","NDUFAF7"
10368,"ENSG00000003756.15","RBM5"
5692,"ENSG00000003987.12","MTMR7"
7905,"ENSG00000003989.15","SLC7A2"
1871,"ENSG00000004059.9","ARF5"
11137,"ENSG00000004139.12","SARM1"
2121,"ENSG00000004142.10","POLDIP2"
9738,"ENSG00000004399.11","PLXND1"
5727,"ENSG00000004455.15","AK2"
