"gene_id","gene_name","length"
"ENSG00000186092.4","OR4F5",918
"ENSG00000237683.5","AL627309.1",2661
"ENSG00000235249.1","OR4F29",995
"ENSG00000185097.2","OR4F16",995
"ENSG00000269831.1","AL669831.1",129
"ENSG00000269308.1","AL645608.2",57
"ENSG00000187634.6","SAMD11",3205
"ENSG00000268179.1","AL645608.1",336
"ENSG00000188976.6","NOC2L",5539
"ENSG00000187961.9","KLHL17",3395
"ENSG00000187583.6","PLEKHN1",2833
"ENSG00000187642.5","C1orf170",3081
"ENSG00000188290.6","HES4",1118
"ENSG00000187608.5","ISG15",711
"ENSG00000188157.9","AGRN",10756
"ENSG00000237330.2","RNF223",1902
"ENSG00000131591.13","C1orf159",6322
"ENSG00000162571.9","TTLL10",3943
"ENSG00000186891.9","TNFRSF18",1370
"ENSG00000186827.6","TNFRSF4",1721
"ENSG00000078808.12","SDF4",4709
"ENSG00000176022.3","B3GALT6",2793
"ENSG00000184163.3","FAM132A",1794
"ENSG00000160087.16","UBE2J2",4712
"ENSG00000162572.15","SCNN1D",4025
"ENSG00000131584.14","ACAP3",8809
"ENSG00000169972.7","PUSL1",2489
"ENSG00000127054.14","CPSF3L",8220
"ENSG00000224051.2","GLTPD1",2556
"ENSG00000169962.4","TAS1R3",3433
"ENSG00000107404.13","DVL1",3486
"ENSG00000162576.12","MXRA8",3371
"ENSG00000175756.9","AURKAIP1",1669
"ENSG00000221978.7","CCNL2",6835
"ENSG00000224870.3","RP4-758J18.2",2525
"ENSG00000242485.1","MRPL20",2788
"ENSG00000235098.4","ANKRD65",2644
"ENSG00000205116.3","TMEM88B",492
"ENSG00000179403.10","VWA1",5065
"ENSG00000215915.5","ATAD3C",3976
"ENSG00000160072.15","ATAD3B",7748
"ENSG00000197785.9","ATAD3A",3069
"ENSG00000205090.4","TMEM240",752
"ENSG00000160075.10","SSU72",5428
"ENSG00000215014.3","AL645728.1",1019
"ENSG00000228594.1","C1orf233",2085
"ENSG00000197530.8","MIB2",8767
"ENSG00000189409.8","MMP23B",2273
"ENSG00000248333.3","CDK11B",3130
"ENSG00000189339.7","SLC35E2B",7790
"ENSG00000008128.18","CDK11A",4707
"ENSG00000215790.2","SLC35E2",2504
"ENSG00000008130.11","NADK",5637
"ENSG00000078369.13","GNB1",6351
"ENSG00000169885.5","CALML6",2321
"ENSG00000178821.8","TMEM52",1594
"ENSG00000142609.13","C1orf222",10416
"ENSG00000187730.6","GABRD",1913
"ENSG00000067606.11","PRKCZ",7636
"ENSG00000162585.12","C1orf86",10712
"ENSG00000269554.1","AL590822.2",1943
"ENSG00000203301.2","AL590822.1",2261
"ENSG00000157933.9","SKI",6080
"ENSG00000116151.9","MORN1",8403
"ENSG00000269753.1","AL589739.1",462
"ENSG00000157916.14","RER1",5638
"ENSG00000157911.5","PEX10",2961
"ENSG00000149527.13","PLCH2",10781
"ENSG00000157881.9","PANK4",5079
"ENSG00000197921.5","HES5",1306
"ENSG00000157873.13","TNFRSF14",6219
"ENSG00000157870.10","FAM213B",3346
"ENSG00000142606.11","MMEL1",3896
"ENSG00000215912.7","TTC34",5900
"ENSG00000169717.5","ACTRT2",1420
"ENSG00000142611.12","PRDM16",9770
"ENSG00000130762.10","ARHGEF16",5563
"ENSG00000162591.11","MEGF6",7039
"ENSG00000158109.10","TPRG1L",2414
"ENSG00000116213.11","WRAP73",7604
"ENSG00000078900.10","TP73",6763
"ENSG00000162592.4","CCDC27",2318
"ENSG00000235169.3","SMIM1",954
"ENSG00000130764.5","LRRC47",2854
"ENSG00000116198.8","CEP104",7876
"ENSG00000169598.11","DFFB",3856
"ENSG00000198912.6","C1orf174",4388
"ENSG00000196581.6","AJAP1",12405
"ENSG00000131697.13","NPHP4",13167
"ENSG00000069424.10","KCNAB2",9253
"ENSG00000268332.1","AL035406.1",81
"ENSG00000116254.13","CHD5",9890
"ENSG00000116251.5","RPL22",4900
"ENSG00000158286.8","RNF207",6585
"ENSG00000116237.11","ICMT",4910
"ENSG00000173673.7","HES3",697
"ENSG00000158292.6","GPR153",4082
"ENSG00000097021.15","ACOT7",4892
"ENSG00000069812.7","HES2",5407
"ENSG00000187017.10","ESPN",4109
"ENSG00000215788.5","TNFRSF25",3918
"ENSG00000171680.16","PLEKHG5",6954
"ENSG00000162408.10","NOL9",7293
"ENSG00000173662.15","TAS1R1",2892
"ENSG00000204859.7","ZBTB48",4503
"ENSG00000162413.12","KLHL21",6670
"ENSG00000116273.5","PHF13",3681
"ENSG00000041988.11","THAP3",4072
"ENSG00000007923.11","DNAJC11",5147
"ENSG00000171735.14","CAMTA1",10033
"ENSG00000049245.8","VAMP3",2760
"ENSG00000049246.10","PER3",8059
